NCRAS_Draw	Stage	Months	OS	CSS	Age
Thyroid	II	45	0	0.8171868896484376	80-84 years
Thyroid	II	48	0	0.8338929748535157	80-84 years
Thyroid	II	51	0	0.8534261322021485	80-84 years
Thyroid	II	54	0	0.8738954925537109	80-84 years
Thyroid	II	57	0	0.8948665618896484	80-84 years
Thyroid	II	60	0	0.9164730072021484	80-84 years
Thyroid	III	0.9959999620914459	0	0.9772488403320313	80-84 years
Thyroid	III	2.003999948501587	0	0.9819168090820313	80-84 years
Thyroid	III	3	0	0.9866066741943359	80-84 years
Thyroid	III	3.996000051498413	0	0.9913211822509765	80-84 years
Thyroid	III	5.003999948501587	0	0.9960606384277344	80-84 years
Thyroid	III	6	0	0.999	80-84 years
Thyroid	III	9	0	0.999	80-84 years
Thyroid	III	12	0	0.9993251037597656	80-84 years
Thyroid	III	15	0	0.999	80-84 years
Thyroid	III	18	0	0.999	80-84 years
Thyroid	III	21	0	0.999	80-84 years
Thyroid	III	24	0	0.999	80-84 years
Thyroid	III	27	0	0.999	80-84 years
Thyroid	III	30	0	0.999	80-84 years
Thyroid	III	33	0	0.999	80-84 years
Thyroid	III	36	0	0.999	80-84 years
Thyroid	III	39	0	0.999	80-84 years
Thyroid	III	42	0	0.999	80-84 years
Thyroid	III	45	0	0.999	80-84 years
Thyroid	III	48	0	0.999	80-84 years
Thyroid	III	51	0	0.999	80-84 years
Thyroid	III	54	0	0.999	80-84 years
Thyroid	III	57	0	0.999	80-84 years
Thyroid	III	60	0	0.999	80-84 years
Thyroid	IV	0.9959999620914459	0	0.8228000640869141	80-84 years
Thyroid	IV	2.003999948501587	0	0.7103545379638672	80-84 years
Thyroid	IV	3	0	0.6470095825195312	80-84 years
Thyroid	IV	3.996000051498413	0	0.5825341796875	80-84 years
Thyroid	IV	5.003999948501587	0	0.5624003601074219	80-84 years
Thyroid	IV	6	0	0.5419169616699219	80-84 years
Thyroid	IV	9	0	0.4841427230834961	80-84 years
Thyroid	IV	12	0	0.415719108581543	80-84 years
Thyroid	IV	15	0	0.36802490234375	80-84 years
Thyroid	IV	18	0	0.3528739929199219	80-84 years
Thyroid	IV	21	0	0.35087440490722654	80-84 years
Thyroid	IV	24	0	0.34694576263427734	80-84 years
Thyroid	IV	27	0	0.3329631805419922	80-84 years
Thyroid	IV	30	0	0.32755107879638673	80-84 years
Thyroid	IV	33	0	0.3211668014526367	80-84 years
Thyroid	IV	36	0	0.3122260665893555	80-84 years
Thyroid	IV	39	0	0.3018239974975586	80-84 years
Thyroid	IV	42	0	0.308841381072998	80-84 years
Thyroid	IV	45	0	0.31610965728759766	80-84 years
Thyroid	IV	48	0	0.29562833786010745	80-84 years
Thyroid	IV	51	0	0.3034793472290039	80-84 years
Thyroid	IV	54	0	0.3115407562255859	80-84 years
Thyroid	IV	57	0	0.27581865310668946	80-84 years
Thyroid	IV	60	0	0.2821708297729492	80-84 years
Thyroid	Unknown/missing	0.9959999620914459	0	0.7896800994873047	80-84 years
Thyroid	Unknown/missing	2.003999948501587	0	0.7371951293945312	80-84 years
Thyroid	Unknown/missing	3	0	0.7027520751953125	80-84 years
Thyroid	Unknown/missing	3.996000051498413	0	0.6677754211425782	80-84 years
Thyroid	Unknown/missing	5.003999948501587	0	0.6319949722290039	80-84 years
Thyroid	Unknown/missing	6	0	0.6218755722045899	80-84 years
Thyroid	Unknown/missing	9	0	0.6034079742431641	80-84 years
Thyroid	Unknown/missing	12	0	0.5758388137817383	80-84 years
Thyroid	Unknown/missing	15	0	0.562136573791504	80-84 years
