Age	NCRAS_Draw	Stage	Months	CSS
34	Urothelial Tract	II	60	0.8762032318115235
35	Urothelial Tract	II	60	0.8762032318115235
36	Urothelial Tract	II	60	0.8762032318115235
37	Urothelial Tract	II	60	0.8762032318115235
38	Urothelial Tract	II	60	0.8762032318115235
39	Urothelial Tract	II	60	0.8762032318115235
40	Urothelial Tract	II	60	0.8762032318115235
41	Urothelial Tract	II	60	0.8762032318115235
42	Urothelial Tract	II	60	0.8762032318115235
43	Urothelial Tract	II	60	0.8595337753295899
44	Urothelial Tract	II	60	0.8261948623657227
45	Urothelial Tract	II	60	0.7928559494018554
46	Urothelial Tract	II	60	0.7595170364379883
47	Urothelial Tract	II	60	0.7261781234741211
48	Urothelial Tract	II	60	0.7233003234863281
49	Urothelial Tract	II	60	0.7508836364746094
50	Urothelial Tract	II	60	0.7784669494628906
51	Urothelial Tract	II	60	0.8060502624511718
52	Urothelial Tract	II	60	0.8336335754394532
53	Urothelial Tract	II	60	0.8386609878540039
54	Urothelial Tract	II	60	0.8211324996948243
55	Urothelial Tract	II	60	0.8036040115356445
56	Urothelial Tract	II	60	0.7860755233764648
57	Urothelial Tract	II	60	0.7685470352172852
58	Urothelial Tract	II	60	0.7558361740112305
59	Urothelial Tract	II	60	0.7479429397583007
60	Urothelial Tract	II	60	0.7400497055053711
61	Urothelial Tract	II	60	0.7321564712524414
62	Urothelial Tract	II	60	0.7242632369995117
63	Urothelial Tract	II	60	0.7201126174926757
64	Urothelial Tract	II	60	0.7197046127319335
65	Urothelial Tract	II	60	0.7192966079711913
66	Urothelial Tract	II	60	0.7188886032104492
67	Urothelial Tract	II	60	0.718480598449707
68	Urothelial Tract	II	60	0.7146140136718749
69	Urothelial Tract	II	60	0.7072888488769531
70	Urothelial Tract	II	60	0.6999636840820312
71	Urothelial Tract	II	60	0.6926385192871094
72	Urothelial Tract	II	60	0.6853133544921876
73	Urothelial Tract	II	60	0.674042911529541
74	Urothelial Tract	II	60	0.6588271903991699
75	Urothelial Tract	II	60	0.6436114692687989
76	Urothelial Tract	II	60	0.6283957481384277
77	Urothelial Tract	II	60	0.6131800270080566
78	Urothelial Tract	II	60	0.6106855812072753
79	Urothelial Tract	II	60	0.6209124107360839
80	Urothelial Tract	II	60	0.6311392402648925
81	Urothelial Tract	II	60	0.6413660697937011
82	Urothelial Tract	II	60	0.6515928993225097
83	Urothelial Tract	II	60	0.656706314086914
84	Urothelial Tract	II	60	0.656706314086914
85	Urothelial Tract	II	60	0.656706314086914
86	Urothelial Tract	II	60	0.656706314086914
87	Urothelial Tract	II	60	0.656706314086914
88	Urothelial Tract	II	60	0.656706314086914
89	Urothelial Tract	II	60	0.656706314086914
90	Urothelial Tract	II	60	0.656706314086914
91	Urothelial Tract	II	60	0.656706314086914
92	Urothelial Tract	II	60	0.656706314086914
93	Urothelial Tract	II	60	0.656706314086914
94	Urothelial Tract	II	60	0.656706314086914
95	Urothelial Tract	II	60	0.656706314086914
96	Urothelial Tract	II	60	0.656706314086914
