Sex,NCRAS_Draw,Stage,Age,haz_ratio,cfDNA_status,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male,Bladder,III,70-74,2,negative,rmst,27.5,1.65 (1.6 to 1.71),1.65,1.6 to 1.71,1.6,1.71,(1.6 to 1.71)
Male,Bladder,III,70-74,2,positive,rmst,27.5,1.63 (1.5 to 1.85),1.63,1.5 to 1.85,1.5,1.85,(1.5 to 1.85)
Male,Bladder,III,75-79,1,negative,rmst,22.5,1.46 (1.4 to 1.53),1.46,1.4 to 1.53,1.4,1.53,(1.4 to 1.53)
Male,Bladder,III,75-79,2,negative,rmst,22.5,1.52 (1.39 to 1.55),1.52,1.39 to 1.55,1.39,1.55,(1.39 to 1.55)
Male,Bladder,III,75-79,2,positive,rmst,22.5,1.43 (1.25 to 1.57),1.43,1.25 to 1.57,1.25,1.57,(1.25 to 1.57)
Male,Bladder,IV,50-54,1,negative,rmst,47.5,1.51 (1.36 to 1.85),1.51,1.36 to 1.85,1.36,1.85,(1.36 to 1.85)
Male,Bladder,IV,50-54,2,negative,rmst,47.5,1.65 (1.37 to 2.28),1.65,1.37 to 2.28,1.37,2.28,(1.37 to 2.28)
Male,Bladder,IV,50-54,2,positive,rmst,47.5,1.34 (1.22 to 1.51),1.34,1.22 to 1.51,1.22,1.51,(1.22 to 1.51)
Male,Bladder,IV,55-59,1,negative,rmst,42.5,1.13 (1.09 to 1.13),1.13,1.09 to 1.13,1.09,1.13,(1.09 to 1.13)
Male,Bladder,IV,55-59,2,negative,rmst,42.5,1.18 (0.94 to 1.48),1.18,0.94 to 1.48,0.94,1.48,(0.94 to 1.48)
Male,Bladder,IV,55-59,2,positive,rmst,42.5,1.21 (0.97 to 1.43),1.21,0.97 to 1.43,0.97,1.43,(0.97 to 1.43)
Male,Bladder,IV,60-64,1,negative,rmst,37.5,1.23 (1.07 to 1.37),1.23,1.07 to 1.37,1.07,1.37,(1.07 to 1.37)
Male,Bladder,IV,60-64,2,negative,rmst,37.5,1.2 (1.14 to 1.32),1.2,1.14 to 1.32,1.14,1.32,(1.14 to 1.32)
Male,Bladder,IV,60-64,2,positive,rmst,37.5,1.14 (1 to 1.37),1.14,1 to 1.37,1,1.37,(1 to 1.37)
Male,Bladder,IV,65-69,1,negative,rmst,32.5,1.19 (1.13 to 1.25),1.19,1.13 to 1.25,1.13,1.25,(1.13 to 1.25)
Male,Bladder,IV,65-69,2,negative,rmst,32.5,1.2 (1.12 to 1.32),1.2,1.12 to 1.32,1.12,1.32,(1.12 to 1.32)
